Time,Longitude,Latitude,Speed,LatAcceleration,LongAcceleration,ZAcceleration,YawRate,SteerTorque,SteerRate,SteerAngle,SteerFraction,FLWheelSpeed,FRWheelSpeed,RRWheelSpeed,RLWheelSpeed
1617402395.286796,-110.89126586914062,32.22113037109375,0.0,-1.0,0.0,46.0,0.0,-7.4204427432812485,0.0,300.0,-0.7000000000000001,0.0,0.0,0.0,0.0
1617402395.414848,-110.89127349853516,32.22112274169922,0.0,-1.0,0.0,46.0,0.0,-8.0,0.0,300.0,-0.7000000000000001,0.0,0.0,0.0,0.0
1617402395.551842,-110.89126586914062,32.22111892700195,0.0,-0.3052890590048218,0.0,46.0,0.0,-7.305289059004822,0.0,300.0,-0.7000000000000001,0.0,0.0,0.0,0.0
1617402395.65199,-110.89126586914062,32.22111892700195,0.0,-1.0,0.0,46.0,0.0,-6.0,0.0,299.99999999999994,-0.7000000000000001,0.0,0.0,0.0,0.0
1617402395.788978,-110.89126586914062,32.22111511230469,0.0,-2.0,0.0,46.0,0.0,-7.0,0.0,300.00000000000006,-0.7000000000000001,0.0,0.0,0.0,0.0
1617402395.855989,-110.89126586914062,32.22111511230469,0.0,-1.0,0.0,46.0,0.0,-7.100673143484592,0.0,300.0,-0.7000000000000002,0.0,0.0,0.0,0.0
1617402395.956012,-110.89126586914062,32.22111511230469,0.0,0.0,0.0,45.99999999999999,0.0,-7.91501542763475,0.0,300.00000000000006,-0.7000000000000002,0.0,0.0,0.0,0.0
1617402396.059993,-110.89126586914062,32.22111511230469,0.0,-1.1027113537940123,0.0,46.0,0.0,-6.999999999999999,0.0,299.99999999999994,-0.7,0.0,0.0,0.0,0.0
1617402396.162042,-110.89126586914062,32.22111511230469,0.0,-2.0,0.0,46.0,0.0,-8.0,0.0,300.0,-0.7000000000000001,0.0,0.0,0.0,0.0
1617402396.265046,-110.89126586914062,32.22111511230469,0.0,-1.0,0.0,46.00000000000001,0.0,-7.0,0.0,300.0,-0.7000000000000001,0.0,0.0,0.0,0.0
1617402396.363041,-110.89126586914062,32.22111511230469,0.0,0.0,0.0,46.0,0.0,-8.0,0.0,300.0,-0.7,0.0,0.0,0.0,0.0
1617402396.464048,-110.89126586914062,32.22111511230469,0.0,-1.3011864744257957,0.0,46.0,0.0,-8.0,0.0,300.0,-0.7000000000000001,0.0,0.0,0.0,0.0
1617402396.564057,-110.89126586914062,32.22111511230469,0.0,-1.0,0.0,45.99999999999999,0.0,-7.689027212143651,0.0,300.00000000000006,-0.7000000000000001,0.0,0.0,0.0,0.0
1617402396.662105,-110.89126586914062,32.22111511230469,0.0,0.0,0.0,46.0,0.0,-7.210745772245387,0.0,300.0,-0.7000000000000001,0.0,0.0,0.0,0.0
