Longitude,Latitude,Speed,LatAcceleration,LongAcceleration,SteerTorque,SteerRate,SteerAngle,FLWheelSpeed,FRWheelSpeed,RRWheelSpeed,RLWheelSpeed
-110.93405151367188,32.285587310791016,52.49999999999999,-501.7063825126841,-1.016427879823776,0.0,-0.7622764926352981,2.6,52.56,52.570511360244524,52.761079551559874,52.53153408073355
-110.93403625488281,32.285579681396484,51.837082894194204,-501.72,-1.03842,0.0,-0.43648192041958744,2.6,51.81373052224006,51.92378718481443,52.11251062423269,52.05628364340353
-110.93400573730469,32.28557205200195,51.120000000000005,-501.74,-1.1291306135027799,0.0,0.24867479297457068,2.6,51.21935777236077,51.182477029814365,51.38559628726795,51.22816519782486
-110.93399047851562,32.28556823730469,50.72706893859982,-501.72,-1.1414928,0.0,0.07766270420244446,2.6000000000000005,50.720167595105465,50.80033519021092,50.70453911345998,50.72958101223635
-110.93397521972656,32.28556442260742,50.49537916159971,-501.72,-0.9660640227655313,0.0,0.9332176723625735,2.6,50.492003237791316,50.51200323779131,50.50567044408987,50.40967691967249
-110.9339599609375,32.285560607910156,49.78332587412588,-501.74000000000007,-1.0384200000000001,0.0,0.0,2.6,49.839999999999996,49.77545444740059,49.980000000000004,49.83545444740059
-110.93394470214844,32.28555679321289,49.45063620642577,-501.74,-1.111282847599584,0.0,0.12511789525936956,2.6,49.33562663731952,49.27989329760638,49.41423998468845,49.389973324401595
-110.9339370727539,32.28554916381836,49.0442487702038,-501.74000000000007,-1.0384200000000001,0.0,0.0,2.6,48.96999999999999,49.074789178794425,49.229696469694446,49.01254635454999
-110.93392181396484,32.285545349121094,48.401152501248845,-501.74,-1.1414928,0.0,0.0,2.6,48.560181181799464,48.512310310164835,48.583465465247244,48.57942242245879
-110.93390655517578,32.28554153442383,48.04947221641219,-501.72,-1.1414928,0.0,-1.0564291238019357,2.7,48.158855918624106,48.21564622378369,48.2740570438333,47.994205410024804
-110.93389129638672,32.28553771972656,47.31000000000001,-501.71999999999997,-1.2929092533434077,0.0,0.0,2.7,47.3520844233056,47.25217241379311,47.55421284185494,47.407915576694414
-110.93387603759766,32.2855339050293,46.94868479232324,-501.74,-1.246104,0.0,-4.281998930533275,2.9718001069466724,46.98969476125124,46.822271070938434,46.97393166437935,46.923101367658894
-110.93386840820312,32.28553009033203,46.25,-501.74,-1.4256439854024112,0.0,-1.0,3.0000000000000004,46.32,46.23672635938802,46.542122734353306,46.35260864840062
-110.93385314941406,32.285526275634766,45.74999999999999,-501.73999999999995,-1.4218996752565567,0.0,0.0,3.1999999999999997,45.78372911190666,45.78406772202333,45.82262752887165,45.76262752887166
-110.933837890625,32.2855224609375,45.26421853513379,-501.74000000000007,-1.2461039999999999,0.0,-0.04910976785756286,3.2000000000000006,45.4041704804092,45.39864344974425,45.6,45.41844179046034
-110.93382263183594,32.285518646240234,44.94855884500342,-501.7467640449438,-1.3491768000000002,0.0,0.0,3.2,44.77432457661022,44.96,44.81808374449927,44.75304707294306
