Time,Longitude,Latitude,Speed,LatAcceleration,LongAcceleration,ZAcceleration,YawRate,SteerTorque,SteerRate,SteerAngle,SteerFraction,FLWheelSpeed,FRWheelSpeed,RRWheelSpeed,RLWheelSpeed
1609878704.666096,-110.84491729736328,32.30727767944336,14.935,-13.0,-0.6255,57.5,-0.625,-5.5,-1.0,1.5,0.35000000000000003,15.365000000000002,15.184999999999995,17.314999999999998,17.384999999999998
1609878704.771121,-110.84492492675781,32.30727767944336,15.530000000000001,-34.0,0.0665,112.5,0.875,-13.0,-5.0,1.5,-0.30000000000000004,15.524999999999999,15.704999999999998,14.375,14.939999999999998
1609878704.874111,-110.84492492675781,32.30727767944336,15.355,-4.0,-0.0395,70.0,0.25,-7.0,-17.0,0.0,-0.25,15.284999999999997,15.254999999999995,15.07,14.450000000000003
1609878704.977148,-110.84493255615234,32.30727767944336,14.765,21.0,-0.7615000000000001,49.0,-0.25,-10.0,-4.0,0.0,-0.5,14.840000000000003,14.705000000000005,14.685000000000002,14.79
1609878705.078149,-110.84494018554688,32.30727767944336,14.485,-6.5,-0.7290000000000001,81.5,0.25,-13.5,-2.0,-1.5,0.7000000000000001,14.575000000000003,14.564999999999998,15.189999999999998,14.990000000000002
1609878705.170173,-110.84494018554688,32.30727767944336,14.57,-4.5,-0.40449999999999997,151.5,0.25,-14.5,-2.0,-1.5,0.7000000000000001,14.685000000000002,14.740000000000002,15.0,14.725000000000001
1609878705.269175,-110.8449478149414,32.30727767944336,14.685,-12.0,-0.028999999999999998,80.5,0.0,-7.0,-2.0,-1.5,0.7000000000000001,14.915000000000006,14.805,14.675000000000004,14.844999999999999
1609878705.370181,-110.8449478149414,32.30727767944336,14.765,-2.0,0.026500000000000003,136.0,-0.5,-6.0,-1.0,-1.5,0.7000000000000001,14.86,14.844999999999999,14.355000000000004,14.725000000000001
1609878705.477276,-110.84495544433594,32.30727767944336,14.63,3.5,-0.1755,125.5,0.0,-5.0,-1.0,-1.5,0.7000000000000001,14.625,14.660000000000004,14.57,14.594999999999999
1609878705.566211,-110.84495544433594,32.30727767944336,14.46,-0.5,-0.3145,113.5,-0.125,4.5,0.0,-1.5,0.7000000000000001,14.735,14.689999999999998,14.625,14.745000000000005
1609878705.672224,-110.84496307373047,32.30727767944336,14.57,-14.5,-0.0335,139.5,-0.25,11.5,0.0,-1.5,0.7000000000000001,14.770000000000003,14.690000000000005,14.235,14.594999999999999
1609878705.775391,-110.844970703125,32.30727767944336,14.71,-11.0,-0.005,168.0,0.0,25.0,0.0,0.0,-0.4,14.870000000000005,14.829999999999998,14.705000000000005,14.770000000000003
1609878705.880516,-110.844970703125,32.30727767944336,14.85,-5.5,0.3075,98.5,0.0,25.0,6.0,0.0,0.35000000000000003,15.125,15.125,15.11,15.189999999999998
1609878705.979519,-110.84497833251953,32.30727767944336,15.215,-5.0,0.7384999999999999,18.5,0.0,18.5,15.0,1.5,0.2,15.424999999999997,15.434999999999995,15.340000000000003,15.5
1609878706.071666,-110.84497833251953,32.30727767944336,15.5,1.0,0.773,54.0,0.0,18.0,20.0,3.0,0.5,15.769999999999996,15.735,15.579999999999998,15.670000000000002
1609878706.17767,-110.84498596191406,32.30727767944336,15.695,6.0,0.747,155.5,0.625,17.5,11.0,4.5,0.45,16.14,15.82,15.995000000000005,15.744999999999997
1609878706.265815,-110.8449935913086,32.30727767944336,15.92,-8.5,0.739,19.0,0.5,17.5,13.0,6.0,-0.1,16.28,16.045,16.115000000000002,15.940000000000005
1609878706.368818,-110.8449935913086,32.30727767944336,16.200000000000003,-7.0,0.6765000000000001,212.5,0.75,17.5,9.0,7.5,-0.7000000000000001,16.439999999999998,16.415000000000006,16.385000000000005,16.36
1609878706.465958,-110.84500122070312,32.30727767944336,16.455,-4.5,0.758,38.0,0.75,17.0,-2.0,6.0,0.1,16.644999999999996,16.739999999999995,16.534999999999997,16.384999999999998
1609878706.568836,-110.84500885009766,32.30727767944336,16.68,0.0,0.5105,46.0,1.0,15.5,-35.5,3.0,0.0,16.795,16.845,16.794999999999995,16.619999999999997
1609878706.669004,-110.84500885009766,32.30727767944336,16.735,-9.0,0.496,31.5,0.5,15.5,-18.5,0.0,0.5,16.950000000000003,16.939999999999998,17.14,17.015
1609878706.773997,-110.84501647949219,32.30727767944336,16.96,-8.0,0.43800000000000006,101.0,-0.25,7.0,-5.5,0.0,0.30000000000000004,17.189999999999998,17.129999999999995,16.985,17.085
1609878706.873005,-110.84502410888672,32.30727767944336,17.16,-13.5,0.5085,44.0,0.5,11.5,1.0,1.5,-0.6500000000000001,17.335,17.35,17.270000000000003,17.46
1609878706.972146,-110.84502410888672,32.30727767944336,17.27,-13.0,0.532,68.0,0.25,6.5,7.0,1.5,-0.1,17.465000000000003,17.46,17.285000000000004,17.39
1609878707.07516,-110.84503173828125,32.30727767944336,17.330000000000002,2.0,0.4175,208.5,-0.25,5.0,3.0,1.5,-0.05,17.520000000000003,17.439999999999998,17.369999999999997,17.510000000000005
1609878707.168403,-110.84503936767578,32.30727767944336,17.38,-5.0,0.2615,52.0,-0.25,5.5,1.5,1.5,0.0,17.545,17.515,17.57,17.550000000000004
1609878707.268446,-110.84503936767578,32.30727767944336,17.465000000000003,-7.0,0.14200000000000002,188.0,0.0,2.0,1.0,1.5,0.0,17.680000000000007,17.595,17.415,17.405
1609878707.37171,-110.84504699707031,32.30727767944336,17.55,-8.5,0.1375,183.5,0.25,3.5,1.0,1.5,0.0,17.58,17.620000000000005,17.57,17.650000000000006
1609878707.472781,-110.84505462646484,32.30727767944336,17.55,-6.5,0.2555,46.0,0.25,5.5,0.0,1.5,0.0,17.665,17.655,17.590000000000003,17.665000000000006
